premise	hypothesis	label
This church choir sings to the masses as they sing joyous songs from the book at a church during a severe earthquake.	The church has cracks in the ceiling.	0
This church choir sings to the masses as they sing joyous songs from the book at a church.	The church has sound waves hitting the ceiling.	0
This church choir sings to the masses as they sing incredibly loud songs at the resonant frequency of glass windows.	The church has cracks in the windows.	0
This church choir sings to the masses as they sing joyous songs about their newly repaired ceiling.	The church has cracks in the ceiling.	2
This church choir sings to the masses as they sing joyous songs from the book at a church.	The church has no music books.	2
This church choir sings to the masses as they sing depressing songs from the book at a church.	The church is filled to the ceiling with joy.	2
This church choir stands before the masses as the priest reads joyous words from the book at a church.	The church is filled with song.	1
This church choir sings to the masses as they sing joyous songs from the book at a church.	The church is filled with prayers. 	1
This church choir talks to the masses as they talk about joyous songs from the book at a church.	The church is filled with prayers.	1
This church choir goes on strike as they stop singing joyous songs from the book at a church.	The church is filled with song.	2
This church choir sings to the masses as they sing joyous songs from the book at a church.	The church is devoid of song.	2
This church choir dances with the masses as they dance joyous dances from the book at a church.	The church is filled with paraplegics.	2
This church choir sings to the fans as they sing joyous songs at a baseball field.	A choir singing at a baseball game.	0
This church choir sings to the masses as they sing joyous songs from the book at a church.	A choir singing not at a baseball game.	0
This church choir sings to the masses as they sing joyous songs from the book at a basketball game.	A choir singing at a basketball game.	0
This church choir sings to the masses as they sing joyous songs from the book at a game.	A choir singing at a baseball game.	1
This church choir sings to the masses as they sing joyous songs from the book at a church.	A choir singing at a church near a baseball game.	1
This church choir preaches to the masses as they preach joyous messages from the book at a church.	A choir preaching at a church near a baseball game.	1
An adolescent woman with a green headscarf, blue shirt and a very big grin.	The woman is young.	0
A woman with a green headscarf, blue shirt and a very big grin.	The woman is dressed.	0
A woman with a green headscarf, black shirt and a very big grin.	The woman is wearing black.	0
A middle-aged woman with a green headscarf, blue shirt and a very big grin.	The woman is young.	2
A woman with a green headscarf, blue shirt and a very big grin.	The woman is sleeping.	2
A man with a green headscarf, blue shirt and a very big grin.	The woman is old.	2
A woman with a green headscarf, blue shirt and a very big nose.	The woman is very happy.	1
A woman with a green headscarf, blue shirt and a very big grin. 	The woman is very pretty.	1
A woman with a green headscarf, blue shirt and a very small grin.	The woman is very pretty.	1
A woman with a green headscarf, blue shirt and a very big frown.	The woman is very happy.	2
A woman with a green headscarf, blue shirt and a very big grin.	The woman is very angry.	2
A woman with a green headscarf, blue shirt and not a very big grin.	The woman is wearing a green shirt.	2
A woman with a green headscarf, blue shirt and a very big bullet wound.	The woman has been shot.	0
A woman with a green headscarf, blue shirt and a very big grin.	The woman has not been shot.	0
A woman with a green headscarf, blue shirt and a very big knife wound.	The woman has been stabbed.	0
A woman with a green headscarf, blue shirt and a very big wound.	The woman has been shot.	1
A woman with a green headscarf, blue shirt and a very big grin.	The woman has been shooting.	1
A woman with a green bandana, blue shirt and a very big bruise.	The woman has been punched.	1
An old man with a package poses in front of a sign.	A man poses in front of an ad.	1
An old man with a package poses in front of an advertisement.	A man takes pictures in front of an ad.	1
An old man has a package in front of an advertisement.	A man sits in front of an ad.	1
An old man with a package wanders in front of an advertisement.	A man poses in front of an ad.	2
An old man with a package poses in front of an advertisement.	A man poses in front of an artwork.	2
A young man with a package poses in front of an advertisement.	A man runs in front of an ad.	2
An old man with a package poses in front of a beer advertisement.	A man poses in front of an ad for beer.	0
An old man with a package poses in front of an advertisement.	A man poses in front of an ad for something.	0
An old man with a package of IPA poses in front of an advertisement.	A man poses in front of an ad with beer.	0
An old woman with a package poses in front of an advertisement.	A man poses in front of an ad for beer.	2
An old man with a package poses in front of an advertisement.	A man poses behind an ad for beer.	2
An old man with a package lays in front of an advertisement.	A man stands in front of an ad for beer.	2
An old man with a package walks in front of an advertisement.	A man walks by an ad.	0
An old man with a package poses in front of an advertisement.	A man poses by an ad.	0
An old man with a package walks in front of an advertisement.	A man walks with a package.	0
An old man with a package does not pose in front of an advertisement.	A man walks by an ad.	1
An old man with a package poses in front of an advertisement.	A man walks by a man.	1
